Rk	Player	Age	Team	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Awards
472.0	Trey Alexander	21.0	DEN	SG	10.0	0.0	48.0	2.3	9.0	0.25	0.7	4.5	0.167	1.5	4.5	0.333	0.292	1.5	1.5	1.0	0.0	0.7	0.7	2.3	0.0	0.7	0.7	2.3	6.8	
473.0	Oscar Tshiebwe	25.0	UTA	PF	1.0	0.0	16.0	0.0	0.0		0.0	0.0		0.0	0.0			6.8	9.0	0.75	6.8	13.5	20.3	0.0	4.5	0.0	2.3	6.8	6.8	
474.0	Taylor Hendricks	21.0	UTA	PF	3.0	3.0	75.0	1.9	8.6	0.222	1.4	5.8	0.25	0.5	2.9	0.167	0.306	1.4	1.9	0.75	2.4	4.8	7.2	1.0	2.4	1.9	1.0	3.8	6.7	
475.0	Christian Koloko	24.0	LAL	C	19.0	0.0	178.0	3.0	5.1	0.6	0.0	0.4	0.0	3.0	4.7	0.652	0.6	0.6	0.8	0.75	3.4	5.5	8.9	0.8	1.0	1.6	1.2	4.7	6.7	
476.0	Mouhamed Gueye	22.0	ATL	PF	2.0	0.0	11.0	3.3	13.1	0.25	0.0	6.5	0.0	3.3	6.5	0.5	0.25	0.0	0.0		0.0	6.5	6.5	0.0	0.0	0.0	3.3	0.0	6.5	
477.0	Isaiah Collier	20.0	UTA	PG	20.0	1.0	332.0	2.5	8.2	0.303	0.4	3.1	0.138	2.1	5.1	0.404	0.329	0.9	2.0	0.444	0.2	3.6	3.8	6.8	1.7	0.4	4.8	3.7	6.3	
478.0	Delon Wright	32.0	MIL	PG	21.0	2.0	348.0	2.2	6.9	0.313	1.1	4.0	0.282	1.0	2.9	0.357	0.396	0.8	1.4	0.571	1.6	2.8	4.3	3.8	1.9	0.6	1.2	1.6	6.3	
479.0	Cody Williams	20.0	UTA	SG	16.0	7.0	299.0	2.2	8.1	0.269	0.8	4.5	0.189	1.3	3.6	0.367	0.321	0.7	1.2	0.6	1.0	3.5	4.5	2.3	0.8	0.6	1.3	2.4	5.9	
480.0	Jordan Walsh	20.0	BOS	PF	21.0	1.0	161.0	2.2	7.4	0.303	1.1	5.6	0.2	1.1	1.8	0.625	0.379	0.2	0.4	0.5	1.8	3.1	4.9	0.9	1.1	1.3	0.9	2.5	5.8	
481.0	Liam Robbins	25.0	MIL	C	7.0	0.0	33.0	2.2	4.4	0.5	0.0	1.1	0.0	2.2	3.3	0.667	0.5	1.1	4.4	0.25	4.4	3.3	7.6	1.1	1.1	1.1	1.1	4.4	5.5	
482.0	Jericho Sims	26.0	NYK	C	27.0	2.0	334.0	2.4	3.6	0.667	0.0	0.0		2.4	3.6	0.667	0.667	0.6	1.0	0.667	4.0	6.9	10.9	1.8	0.8	1.0	1.6	4.2	5.4	
483.0	Keshad Johnson	23.0	MIA	SF	3.0	0.0	14.0	2.6	5.1	0.5	0.0	2.6	0.0	2.6	2.6	1.0	0.5	0.0	0.0		0.0	7.7	7.7	0.0	0.0	0.0	0.0	2.6	5.1	
484.0	Garrett Temple	38.0	TOR	SG	9.0	0.0	35.0	2.1	7.2	0.286	1.0	3.1	0.333	1.0	4.1	0.25	0.357	0.0	0.0		1.0	3.1	4.1	5.1	4.1	1.0	2.1	6.2	5.1	
485.0	Maxwell Lewis	22.0	LAL	SF	7.0	0.0	29.0	2.5	7.4	0.333	0.0	0.0		2.5	7.4	0.333	0.333	0.0	0.0		2.5	0.0	2.5	2.5	1.2	0.0	2.5	1.2	5.0	
486.0	Xavier Tillman Sr.	26.0	BOS	C	18.0	1.0	151.0	1.7	7.2	0.233	0.7	3.8	0.188	1.0	3.3	0.286	0.283	0.2	0.5	0.5	1.9	6.0	7.9	1.4	1.2	0.7	1.4	3.1	4.3	
